Company,Stage,Dealflow,region,creation date,description,markets,follow on rate,investment by stage,market value
Flight.VC Syndicate,Seed,High,USA,10-2021,"Flight.VC Syndicate is a VC firm investing in high-growth companies in AI, ML, and consumer product sectors. They focus on early-stage investments and have a strong track record of successful exits.","['AI / ML', 'Finance', 'Consumer Product']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
MyAsiaVC,Seed,High,India,09-2020,"MyAsiaVC invests in early-stage startups across the AI, SaaS, and Fintech sectors. They are focused on the Indian market with a keen interest in innovative solutions for emerging markets.  Their high deal flow suggests a proactive investment strategy.","['AI', 'SaaS', 'Fintech']",20.0%,"{'seed': '73%', 'early': '26%', 'growth': '9%'}",120M$
Rob Ness,Seed,High,USA,present,Rob Ness is a seed-stage venture capital firm focusing on early-stage investments in high-growth companies.  They likely concentrate on technology sectors showing significant potential.,"['Technology', 'SaaS', 'Fintech']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",20M$
Unpopular Ventures,Seed,High,USA,01-2024,Unpopular Ventures is a VC firm that invests in a diverse range of early-stage companies.  Their high deal flow suggests a focus on identifying and backing innovative startups with high growth potential across various sectors.,"['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Mana Ventures,Seed,High,USA,01-2024,"Mana Ventures is a venture capital firm that invests in early-stage companies with a focus on high-growth potential.  Their investments span various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
Riverside Ventures,Seed,High,USA,01-2024,"Riverside Ventures is a venture capital firm that invests in early-stage companies.  Their high deal flow suggests a focus on a broad range of sectors, possibly including SaaS, Fintech, and others, with a strong emphasis on companies with high growth potential.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High,USA,01-2024,"Zachary Ginsburg || Calm Ventures' Syndicate is a seed-stage venture capital firm focused on early-stage investments.  They likely invest across a range of sectors, given the syndicate model, potentially including SaaS, Fintech and others.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Better Capital,Pre-Seed,High,UK,01-2024,"Better Capital is a venture capital firm that invests in early-stage startups, focusing on pre-seed and seed rounds.  Their high deal flow suggests a focus on a broad range of sectors with high growth potential within the UK.","['Fintech', 'SaaS', 'AI']",33.87248322147651%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
Unwritten Capital,Seed,High,USA,01-2024,"Unwritten Capital is a seed-stage venture capital firm with a high deal flow, focusing on investments in promising companies across various sectors.  They are known for their rapid investment decisions and strong network.","['Fintech', 'SaaS', 'Healthtech']",30.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
SCVC,Seed,High,USA,03-2022,"SCVC is a venture capital firm that invests in early-stage companies, focusing on seed rounds.  Their investments span various sectors including SaaS, Fintech, and AI, with a high deal flow indicating a focus on identifying and funding promising startups.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",150M$
Gold Dragon Ventures,Seed,High,India,01-2024,"Gold Dragon Ventures is a venture capital firm that invests in early-stage companies across various sectors, including FinTech, SaaS, and AI, with a focus on the Indian market.  They are known for their high deal flow and support for innovative startups.","['Fintech', 'SaaS', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Climate Capital,Seed,High,USA,03-2022,"Climate Capital is a venture capital firm that invests in seed-stage companies focused on climate technology and sustainability solutions.  They are known for their high deal flow and focus on early-stage, high-growth potential.","['Climate Tech', 'Clean Energy', 'Sustainability']",36.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
DVC,Seed,High,USA,01-2024,"DVC is a venture capital firm that invests in early-stage companies.  They focus on high-growth potential and have a strong network in the technology sector. Their portfolio includes companies in various sectors such as SaaS, Fintech and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
SuperAngel.Fund,Pre-Seed,High,USA,03-2022,SuperAngel.Fund is a venture capital firm that invests in pre-seed and seed-stage startups with a focus on disruptive technologies and innovative business models.  They have a strong network and a keen eye for identifying high-potential companies.,"['AI', 'Fintech', 'SaaS']",25.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",150M$
Austin Walker || Rhone VC,Other,High,USA,01-2024,"Austin Walker || Rhone VC is a venture capital firm with a high deal flow, focusing on investments across various sectors.  Their 'Other' stage classification suggests a broad investment strategy, potentially spanning seed to later stages depending on the opportunity.","['SaaS', 'Fintech', 'AI', 'Healthtech']",50.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",500M$
Reinforced Ventures,Seed,High,USA,01-2024,"Reinforced Ventures is a venture capital firm that invests in early-stage companies with a focus on artificial intelligence and machine learning.  They have a high deal flow, suggesting a proactive investment strategy and a large pipeline of potential portfolio companies.","['AI', 'ML', 'SaaS']",36.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Red Beard Ventures,Seed,High,USA,03-2022,"Red Beard Ventures is a venture capital firm that invests in early-stage companies, focusing on seed-stage investments with high growth potential across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
Allied Venture Partners,Seed,High,USA,01-2024,"Allied Venture Partners is a venture capital firm that invests in early-stage companies across various sectors, including SaaS, Fintech, and AI.  They focus on seed-stage investments with high growth potential.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
Palumni VC,Seed,High,India,12-2024,Palumni VC is a pioneering company in AI.,"['SaaS', 'Healthtech']",81.0%,"{'seed': '53%', 'early': '14%', 'growth': '10%'}",58$
Exitfund Ventures,Seed,High,USA,03-2022,Exitfund Ventures is a venture capital firm that invests in early-stage companies with high growth potential.  Their focus is on seed stage investments and they have a strong network within the technology sector.,"['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Middle Cove Capital,Seed+,High,USA,01-2022,"Middle Cove Capital is a venture capital firm that invests in seed and Series A startups with a focus on technology and consumer goods.  They have a high deal flow and invest in companies across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI', 'Consumer Goods']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '11%'}",250M$
Umami Capital,Seed,High,USA,11-2022,"Umami Capital is a venture capital firm that invests in seed-stage companies with a focus on innovative technologies and high-growth potential.  Their portfolio includes companies across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
Ventioneers,Other,High,USA,01-2024,"Ventioneers is a venture capital firm with a focus on diverse investments across various sectors, given their 'Other' stage classification.  They likely have a broad portfolio and a high deal flow, indicating significant activity in the market.","['SaaS', 'Fintech', 'Healthtech', 'AI']",25.0%,"{'seed': '20%', 'early': '30%', 'growth': '50%'}",500M$
Climate Capital Syndicate,Seed,High,USA,03-2022,"Climate Capital Syndicate is a venture capital firm specializing in seed-stage investments in climate technology and sustainability-focused startups.  They focus on companies developing innovative solutions for renewable energy, carbon capture, and sustainable agriculture.","['Cleantech', 'Renewable Energy', 'Agriculture']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
Cool Climate Collective,Seed,High,USA,01-2024,"Cool Climate Collective is a seed-stage venture capital firm focusing on investments in climate-tech companies.  They have a high deal flow, suggesting significant activity and interest in the sector.","['Climate Tech', 'Clean Energy', 'Sustainability']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",150M$
Revere Partners,Series A,High,USA,01-2024,"Revere Partners is a venture capital firm that invests in Series A companies across various sectors, including SaaS, Fintech, and AI.  They have a strong focus on high-growth potential and a history of successful investments.","['SaaS', 'Fintech', 'AI']",45.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
Engineering Leaders Community Angels,Seed,High,USA,01-2024,Engineering Leaders Community Angels is a seed-stage investment firm focusing on early-stage companies in the technology sector. They invest in companies with strong engineering leadership and a clear path to growth.,"['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
MAV Web3 syndicate,Seed,High,USA,present,MAV Web3 syndicate is a venture capital firm that invests in early-stage Web3 companies.  They focus on high-growth potential and have a strong network within the blockchain and cryptocurrency space.,"['Web3', 'Blockchain', 'Cryptocurrency']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",150M$
Syntax Ventures,Seed,High,USA,03-2022,Syntax Ventures is a venture capital firm that invests in early-stage startups focusing on AI and SaaS solutions.  Their high deal flow indicates a strong focus on identifying and funding promising seed-stage companies with innovative technologies.,"['AI', 'SaaS']",30.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",150M$
HyperGuap,Pre-Seed,High,USA,01-2024,"HyperGuap is a pre-seed stage company with a high deal flow, likely focusing on a fast-growing sector like SaaS or Fintech given its high activity.  More information is needed to provide a more detailed description.","['SaaS', 'Fintech']",33.87248322147651%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",15M$
Jolt VC,Seed,High,USA,03-2022,Jolt VC is a venture capital firm that invests in early-stage companies.  Their focus is on high-growth potential in the SaaS and Fintech sectors. They are known for their high deal flow and quick investment decisions.,"['SaaS', 'Fintech']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
2022 Ventures - Top Tier Early Stage Deals,Seed+,High,USA,03-2022,"2022 Ventures - Top Tier Early Stage Deals is a venture capital firm specializing in seed and early-stage investments.  They focus on high-growth potential companies across various sectors, including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",150M$
Fundomo,Series A,High,Europe,01-2024,"Fundomo is a venture capital firm that invests in Series A startups across Europe, focusing on high-growth companies in the SaaS and Fintech sectors.  They have a strong track record of successful investments and exits, and look for innovative companies with scalable business models.","['SaaS', 'Fintech']",45.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
Builders Capital,Seed,High,USA,present,"Builders Capital is a venture capital firm that invests in seed-stage companies.  They focus on high-growth potential companies and have a strong deal flow, indicating significant activity in the market.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Wild Ventures,Seed,Medium,USA,01-2024,"Wild Ventures is a venture capital firm that invests in seed-stage startups.  They focus on companies with innovative ideas and high growth potential, particularly in the technology and consumer goods sectors.","['Technology', 'Consumer Goods']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Suman Talukdar,Medium,Medium,India,01-2024,"Suman Talukdar is a mid-stage firm with a medium deal flow, focusing on investments in Indian markets.  They likely have a portfolio of companies across various sectors, showing a balanced approach to investment.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Good News Ventures,Seed,Medium,Europe,12-2024,Good News Ventures is a pioneering company in Fintech.,"['Healthtech', 'SaaS']",17.0%,"{'seed': '67%', 'early': '21%', 'growth': '5%'}",68$
Recursive Syndicate,Medium,Medium,USA,03-2022,"Recursive Syndicate is a venture capital firm that invests in mid-stage companies across various sectors, including SaaS, Fintech, and AI.  They focus on companies demonstrating strong growth potential and have a reputation for supporting innovative technologies.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Companyon Ventures,Seed,Medium,USA,03-2022,"Companyon Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups across various sectors, including SaaS, Fintech, and AI.  They are known for their support of innovative companies with high-growth potential.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",100M$
Founders First,Medium,Medium,India,01-2024,"Founders First is a venture capital firm that invests in technology companies at various stages, focusing on the Indian market. They have a diverse portfolio of companies across sectors such as SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Everywhere Ventures,Seed,Medium,USA,01-2024,"Everywhere Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups.  They are known for their diverse portfolio spanning various sectors, including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",50M$
Matt Slater (Stateless Ventures),Medium,Medium,USA,01-2024,"Matt Slater (Stateless Ventures) is a venture capital firm that invests in companies at various stages, focusing on the technology and SaaS sectors. They have a balanced portfolio with diverse investments across different markets.","['SaaS', 'Technology']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
WV,Seed+,Medium,USA,01-2022,"WV is a venture capital firm that invests in seed and Series A companies.  They focus on technology companies with high growth potential, particularly those in the SaaS, Fintech, and AI sectors. They have a strong track record of supporting early-stage startups.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
Harpoon Ventures,Medium,Medium,USA,01-2024,"Harpoon Ventures is a venture capital firm that invests in companies at the medium stage across various sectors including SaaS, Fintech, and Healthcare. They focus on companies with a proven track record and strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '45%', 'growth': '40%'}",150M$
Darkmode Ventures,Seed,Medium,USA,01-2024,"Darkmode Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising companies.  They are likely to invest across a variety of sectors, showing interest in high-growth potential.","['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Chaos Ventures,Medium,Medium,USA,03-2022,"Chaos Ventures is a venture capital firm that invests in growth-stage companies across various sectors, including SaaS, Fintech, and AI.  They focus on companies with high-growth potential and strong leadership teams.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Ride Wave Ventures,Seed,Medium,USA,01-2024,Ride Wave Ventures is a seed-stage venture capital firm focusing on investments in early-stage companies. Their portfolio includes companies from various sectors with a potential for high growth and disruption.,"['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Socially Financed,Medium,Medium,USA,07-2022,Socially Financed is a mid-stage investment firm focusing on companies with a strong social impact within the SaaS and Fintech sectors.  They invest in companies demonstrating strong growth potential and a commitment to social responsibility.,"['SaaS', 'Fintech']",40.0%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Spacecadet,Seed,Medium,USA,03-2023,"Spacecadet is a seed-stage venture capital firm focusing on investments in space technology and related sectors. They are actively seeking innovative startups with high-growth potential in areas such as satellite communication, space exploration, and space-based infrastructure.","['Aerospace', 'Technology', 'Telecommunication']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Rief Ventures,Medium,Medium,USA,01-2024,"Rief Ventures is a venture capital firm that invests in mid-stage companies across various sectors, including SaaS, Fintech, and AI.  They have a strong focus on supporting companies with significant growth potential and proven traction.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",250M$
5 Eyes Ventures,Seed,Medium,USA,03-2022,"5 Eyes Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups across various sectors including SaaS, Fintech, and AI.  They have a strong network and provide mentorship and guidance to their portfolio companies.","['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Xtripe Angels,Medium,Medium,USA,01-2024,"Xtripe Angels is an investment firm focusing on mid-stage companies across various sectors, including SaaS, Fintech, and Healthtech.  They have a strong presence in the US market and are known for supporting companies with significant growth potential.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Banana Capital,Series D,Medium,USA,03-2015,Banana Capital is a well-established venture capital firm focusing on growth-stage investments.  They have a strong portfolio of companies across various sectors and a history of successful exits.,"['Fintech', 'SaaS', 'E-commerce']",65.0%,"{'seed': '10%', 'early': '15%', 'growth': '75%'}",520M$
Shelter Island Ventures,Medium,Medium,USA,01-2024,"Shelter Island Ventures is a venture capital firm that invests in companies at various stages, focusing on technology and consumer products.  They have a medium deal flow, suggesting a balanced approach to investment.","['Technology', 'Consumer Products']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
MKT1 Capital,Seed,Medium,USA,03-2022,"MKT1 Capital is a seed-stage venture capital firm focusing on early-stage investments in technology companies.  Their portfolio includes companies in the SaaS and Fintech sectors, with a strong emphasis on innovation and scalability.","['SaaS', 'Fintech']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Munch.VC,Medium,Medium,USA,01-2024,"Munch.VC is a venture capital firm focusing on mid-stage investments in various sectors, including SaaS, Fintech, and  Healthtech. They have a diversified portfolio of companies demonstrating strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Lightning ⚡️ Ventures,Seed,Medium,USA,03-2022,"Lightning ⚡️ Ventures is a venture capital firm that invests in early-stage companies, focusing on seed rounds.  They have a particular interest in innovative technologies and business models. Their portfolio is diverse, spanning various sectors.","['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
HF Scale,Medium,Medium,USA,01-2024,"HF Scale is a mid-stage investment firm focusing on growth-stage companies across various sectors, including SaaS, Fintech, and AI.  They have a demonstrated history of successful investments in scalable businesses.","['SaaS', 'Fintech', 'AI']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Australian Gulf Capital,Seed,Medium,UK,12-2024,Australian Gulf Capital is a pioneering company in Fintech.,"['Healthtech', 'Fintech']",38.0%,"{'seed': '52%', 'early': '12%', 'growth': '11%'}",80$
Focalpoint Partners,Medium,Medium,USA,07-2017,"Focalpoint Partners is a mid-stage investment firm focusing on growth-stage companies in the SaaS, Fintech, and Healthcare sectors. They have a strong track record of successful investments and exits in the US market.","['SaaS', 'Fintech', 'Healthtech']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Mr. Wizard Ventures from Daniel Kagan,Seed,Medium,USA,01-2024,"Mr. Wizard Ventures from Daniel Kagan is a seed-stage venture capital firm focusing on early-stage investments.  They likely invest across a variety of sectors, given the broad nature of the name.","['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
DataPower Ventures,Medium,Medium,USA,03-2022,"DataPower Ventures is a venture capital firm that invests in technology companies at the growth stage.  They focus on sectors such as SaaS, Fintech, and AI, concentrating their investments on companies demonstrating strong market traction and scalable business models.","['SaaS', 'Fintech', 'AI']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",350M$
The Executive Venture Syndicate,Seed,Medium,USA,03-2022,"The Executive Venture Syndicate is a seed-stage venture capital firm that invests in a range of sectors, focusing on companies with high-growth potential and experienced management teams.  Their portfolio is diversified across various markets.","['SaaS', 'Fintech', 'AI']",28.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",55M$
Iaso Ventures,Medium,Medium,Europe,01-2024,"Iaso Ventures is a venture capital firm that invests in growth-stage companies across various sectors including technology, healthcare, and consumer goods.  They are known for their strategic investments and support of innovative businesses. ","['Technology', 'Healthcare', 'Consumer Goods']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Shane Feldberg,Seed,Medium,USA,01-2024,Shane Feldberg is a seed-stage investor focusing on early-stage companies.  They likely invest across various sectors showing potential for rapid growth.,"['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Caravan Health Ventures,Medium,Medium,USA,01-2024,Caravan Health Ventures is a venture capital firm that invests in health technology companies at the growth stage. They focus on companies that are developing innovative solutions to improve healthcare delivery and outcomes.,['Healthtech'],40.0%,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
Juniper,Seed+,Medium,USA,03-2022,"Juniper is a venture capital firm that invests in seed and Series A startups.  They focus on companies in the SaaS, Fintech, and AI sectors, particularly those with a strong emphasis on data analytics and machine learning.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
JourneyOne Ventures,Medium,Medium,USA,07-2022,"JourneyOne Ventures is a venture capital firm that focuses on mid-stage investments in technology companies across various sectors including SaaS, Fintech and AI.  They have a strong network and proven track record of supporting companies through their growth journey.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
The Healthcare Syndicate,Seed,Medium,USA,01-2022,"The Healthcare Syndicate is a venture capital firm that invests in early-stage companies in the healthcare technology sector.  They focus on seed-stage investments with high growth potential, specializing in innovative solutions for improving patient care and efficiency.","['Healthtech', 'AI', 'SaaS']",30.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Giant Step Capital,Medium,Medium,USA,03-2022,"Giant Step Capital is a growth-stage investment firm focusing on the technology sector, with a particular interest in AI, SaaS, and Fintech companies. They have a strong track record of successful investments in rapidly growing businesses across various industries.","['AI', 'SaaS', 'Fintech']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",175M$
The Syndicate by BANA,Seed,Medium,USA,03-2022,"The Syndicate by BANA is a venture capital firm that invests in seed-stage startups.  They focus on companies in the SaaS, Fintech, and AI sectors, with a particular interest in innovative solutions.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
SHORVC,Medium,Medium,USA,01-2024,"SHORVC is a venture capital firm that invests in companies at the medium stage, focusing on a variety of sectors with medium deal flow.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Rendered VC,Seed,Medium,USA,03-2022,"Rendered VC is a venture capital firm that invests in seed-stage startups with a focus on technology and innovation.  They are known for supporting companies across various sectors, with a special interest in those with high growth potential.","['SaaS', 'Fintech', 'AI']",28.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",95M$
Studio Management,Medium,Medium,USA,01-2024,Studio Management is a mid-stage investment firm focusing on companies in the Media and Entertainment sectors.  They have a broad portfolio and invest across various sub-sectors within the industry.,"['Media', 'Entertainment']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
The Pitch,Seed,Medium,USA,12-2024,The Pitch is a pioneering company in Fintech.,"['SaaS', 'Healthtech']",35.0%,"{'seed': '50%', 'early': '15%', 'growth': '10%'}",88$
Tenon Ventures,Medium,Medium,USA,03-2022,"Tenon Ventures is a venture capital firm that invests in growth-stage companies across various sectors, including SaaS, Fintech, and Healthtech.  They focus on companies with a proven track record and strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
PaperJet Ventures,Seed+,Medium,USA,01-2024,"PaperJet Ventures is a venture capital firm that invests in Seed+ stage companies.  They focus on early-stage startups with high growth potential, particularly within the technology sector.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",150M$
Untapped Ventures,Medium,Medium,USA,01-2024,"Untapped Ventures is a venture capital firm that invests in companies at various stages, focusing on sectors such as SaaS, Fintech, and AI.  They have a medium deal flow, suggesting a balanced investment strategy across different opportunities.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
