Company,Stage,Dealflow,region,creation date,description,markets,follow on rate,investment by stage,market value
271.vc,Seed,Medium,USA,01-2024,"271.vc is a venture capital firm that invests in early-stage startups.  They focus on seed-stage companies and have a medium deal flow, suggesting a balanced portfolio approach.","['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Banyan,Medium,Medium,USA,07-2022,"Banyan is a growth-stage investment firm, focusing on companies in the SaaS, Fintech, and AI sectors. They invest in companies with strong potential for growth and market disruption.","['SaaS', 'Fintech', 'AI']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",250M$
Seneca,Other,Medium,USA,01-2024,"Seneca is an investment firm with a focus on diverse sectors, spanning from established companies to emerging startups.  Their investment strategy adapts to the specific needs and opportunities presented by each company.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Allen Bryant,Medium,Medium,USA,01-2024,"Allen Bryant is a mid-stage investment firm focusing on companies in the SaaS, Fintech, and Healthtech sectors.  They have a balanced portfolio with a focus on scalable businesses.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Brinc,Seed,Medium,USA,01-2024,"Brinc is a seed-stage investor focusing on early-stage startups with high growth potential.  They are known for investing in companies across various sectors, demonstrating a diversified portfolio strategy.","['AI', 'Fintech', 'SaaS']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Katha VC // Sahith Aula,Medium,Medium,India,01-2024,Katha VC // Sahith Aula is a venture capital firm focusing on mid-stage investments in Indian technology companies.  They likely invest across various sectors showing strong growth potential.,"['Fintech', 'SaaS', 'AI']",40.0%,"{'seed': '15%', 'early': '50%', 'growth': '35%'}",150M$
Beyond Earth Technologies,Seed,Medium,USA,03-2022,Beyond Earth Technologies is a seed-stage company focused on developing innovative solutions for sustainable energy and environmental protection.  They are leveraging AI and machine learning to optimize energy consumption and resource management.,"['Cleantech', 'AI', 'Sustainability']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Cobble Hill Ventures,Medium,Medium,USA,01-2024,"Cobble Hill Ventures is a venture capital firm that invests in companies at various stages of development, with a focus on technology and healthcare.  They have a medium deal flow, suggesting a balanced portfolio approach.","['Technology', 'Healthcare']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Duro Ventures,Series B,Low,USA,03-2015,"Duro Ventures is a venture capital firm that invests in growth-stage companies. They focus on the SaaS, Fintech, and AI industries and have a strong track record of successful investments.","['SaaS', 'Fintech', 'AI']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Barney Pell,Medium,Low,USA,01-2024,"Barney Pell is a venture capitalist firm focusing on mid-stage companies, with investments spanning various sectors including SaaS, Fintech, and AI.  Their investment strategy prioritizes companies demonstrating substantial growth potential.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Capital Factory,Seed,Low,USA,07-2017,"Capital Factory is a seed-stage venture capital firm that invests in early-stage startups. They primarily focus on companies in the technology sector, with a particular interest in AI, SaaS, and Fintech.","['AI', 'SaaS', 'Fintech']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Inovexus Ventures,Medium,Low,Europe,01-2024,"Inovexus Ventures is a venture capital firm that invests in companies at various stages, focusing on the European market.  They have a diverse portfolio spanning various sectors including SaaS, Fintech, and AI, with a particular interest in companies demonstrating sustainable growth.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
500 Global,Seed+,Low,USA,01-2010,"500 Global is a global venture capital firm investing in early-stage startups across various sectors, including SaaS, Fintech, and AI.  They have a large portfolio of seed and seed+ stage companies and a focus on supporting high-growth potential.","['SaaS', 'Fintech', 'AI', 'Healthtech']",25.0%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",500M$
Nelstone Ventures,Medium,Low,USA,present,Nelstone Ventures is a venture capital firm that invests in companies at the medium stage of development.  They focus on a variety of sectors and have a relatively low deal flow.,"['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
undefined Syndicate,Pre-Seed,Low,USA,01-2024,undefined Syndicate is a venture capital firm that invests in early-stage companies.  They focus on pre-seed investments and have a portfolio concentrated in the technology sector.,"['SaaS', 'Fintech']",10.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Pete Soderling,Medium,Low,USA,01-2024,"Pete Soderling is a mid-stage company with a focus on  various markets.  They have a low deal flow, suggesting a more selective investment strategy.","['SaaS', 'Fintech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Jake Seid,Pre-Seed,Low,USA,01-2024,Jake Seid is an angel investor focusing on pre-seed investments in early-stage startups.  He typically invests in companies with innovative technologies and strong founding teams.,"['SaaS', 'Fintech', 'AI']",33.87248322147651%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",15M$
N49P,Medium,Low,USA,03-2022,N49P is a mid-stage investment firm focusing on  companies in the SaaS and Fintech sectors in the USA.  They have a moderate deal flow and are known for strategic investments in growth-stage businesses.,"['SaaS', 'Fintech']",67.0%,"{'seed': '15%', 'early': '38%', 'growth': '47%'}",250M$
Ankur Nagpal,Seed,Low,India,12-2024,Ankur Nagpal is a pioneering company in SaaS.,"['Healthtech', 'AI']",23.0%,"{'seed': '51%', 'early': '25%', 'growth': '10%'}",37$
PIRQUE ΔHEΔD,Medium,Low,USA,07-2022,PIRQUE ΔHEΔD is a mid-stage firm that invests in companies across diverse sectors.  They have a moderate deal flow and focus on companies showing strong potential for growth.,"['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '20%', 'early': '50%', 'growth': '30%'}",150M$
Fractal Venture Investments,Pre-Seed,Low,India,01-2024,"Fractal Venture Investments is a venture capital firm that invests in early-stage startups, primarily focusing on the Indian market.  They concentrate on pre-seed investments with a focus on technology and innovation.","['Fintech', 'SaaS', 'AI']",15.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",25M$
SaaSholic,Medium,Low,USA,present,"SaaSholic is a company focusing on SaaS solutions, currently in its medium stage of development.  They have a relatively low deal flow, suggesting a focus on quality over quantity.",['SaaS'],40.0%,"{'seed': '10%', 'early': '60%', 'growth': '30%'}",55M$
Wuri Ventures,Series A,Low,USA,03-2022,"Wuri Ventures is a venture capital firm that invests in Series A companies across various sectors, including SaaS, Fintech, and AI.  They focus on companies with strong growth potential and innovative technologies.","['SaaS', 'Fintech', 'AI']",45.0%,"{'seed': '30%', 'early': '60%', 'growth': '10%'}",115M$
Frontierspace VC,Medium,Low,Europe,03-2022,"Frontierspace VC is a venture capital firm that invests in technology companies across Europe, with a focus on mid-stage companies with significant growth potential.  They typically focus on sectors such as SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",150M$
The MBA Fund,Pre-Seed,Low,USA,01-2024,The MBA Fund is a venture capital firm that invests in pre-seed and seed-stage startups across various sectors. They are known for their support of diverse founders and focus on building long-term partnerships.,"['SaaS', 'Fintech', 'AI']",15.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
Benjamin Bryant's Access Fund,Medium,Low,USA,01-2024,"Benjamin Bryant's Access Fund is a mid-stage investment firm focusing on growth-oriented companies.  They have a diverse portfolio across various sectors including SaaS and Fintech, with a strategic interest in scaling businesses.","['SaaS', 'Fintech']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
The Nordic Web,Series A,Low,Europe,01-2024,"The Nordic Web is a venture capital firm that invests in Series A startups across various sectors, primarily in the Nordic region.  They focus on companies with innovative technologies and a strong potential for growth.","['SaaS', 'Fintech', 'E-commerce']",45.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",120M$
P1 Ventures,Medium,Low,India,01-2024,"P1 Ventures is a venture capital firm that invests in companies at various stages of growth, focusing on the Indian market.  They have a diverse portfolio spanning multiple sectors.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Cabra VC,Pre-Seed,Low,Europe,01-2024,"Cabra VC is a venture capital firm that invests in early-stage startups, focusing on pre-seed and seed rounds.  They have a strong interest in innovative companies across various sectors, with a particular focus on European markets.","['Fintech', 'SaaS', 'Healthtech']",15.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",35M$
Inuka Capital,Medium,Low,UK,present,Inuka Capital is a mid-stage investment firm focusing on companies in the Fintech and SaaS sectors within the UK and European markets.  They have a balanced portfolio demonstrating a strategic approach to medium-growth companies.,"['Fintech', 'SaaS']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Amara.VC,Medium,Low,Europe,01-2024,"Amara.VC is a venture capital firm that invests in companies at the medium stage, focusing on a variety of sectors including technology and healthcare.  They have a measured approach to deal flow and prioritize strong fundamentals.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
Not Boring,Series A,Low,USA,01-2022,"Not Boring is a venture capital firm that focuses on Series A investments, with a particular interest in technology companies with strong growth potential. They have a portfolio of companies spanning several sectors, including SaaS, Fintech and AI.","['SaaS', 'Fintech', 'AI']",45.0%,"{'seed': '10%', 'early': '70%', 'growth': '20%'}",120M$
Newlin.vc,Medium,Low,USA,01-2024,"Newlin.vc is a venture capital firm that focuses on mid-stage investments.  They have a portfolio of companies spanning various sectors, showcasing a diversified investment strategy.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Kube VC,Pre-Seed,Low,USA,01-2024,"Kube VC is a venture capital firm that invests in early-stage startups, primarily focusing on pre-seed and seed rounds.  Their portfolio companies are likely to be in the technology sector, potentially encompassing SaaS, AI, or Fintech.","['SaaS', 'AI', 'Fintech']",15.0%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",20M$
Prithvi Ventures,Medium,Low,India,12-2024,Prithvi Ventures is a pioneering company in AI.,"['Healthtech', 'AI']",12.0%,"{'seed': '50%', 'early': '27%', 'growth': '20%'}",78$
Evolutionary Ventures,Pre-Seed,Low,USA,03-2023,"Evolutionary Ventures is a newly established venture capital firm focusing on pre-seed investments in innovative startups across various sectors, including but not limited to technology, healthcare and consumer goods.  They have a keen interest in supporting early-stage companies with high-growth potential and disruptive business models.","['Technology', 'Healthcare', 'Consumer Goods']",15.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Great Circle Ventures,Medium,Low,USA,03-2022,"Great Circle Ventures is a venture capital firm that invests in companies at the medium stage of development, focusing on various sectors such as SaaS, Fintech, and Healthtech.  They have a proven track record of identifying promising businesses with strong growth potential.","['SaaS', 'Fintech', 'Healthtech']",40.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
Calculated Leap Ventures,Series A,Low,USA,03-2022,Calculated Leap Ventures is a venture capital firm that invests in Series A companies with a focus on technology and innovation.  They are particularly interested in companies developing innovative solutions in the SaaS and Fintech sectors.,"['SaaS', 'Fintech']",45.0%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",120M$
Tech Investor Club - Syndicate,Medium,Low,USA,03-2022,"Tech Investor Club - Syndicate is a venture capital firm that invests in technology companies at various stages of development, with a particular focus on Series A and B rounds.  Their investments span multiple sectors, including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",40.0%,"{'seed': '10%', 'early': '60%', 'growth': '30%'}",150M$
DayDream Ventures,Seed+,Low,USA,01-2022,"DayDream Ventures is a seed-stage venture capital firm focusing on early-stage investments in promising startups. Their portfolio includes companies in diverse sectors such as SaaS, Fintech, and AI, with a particular interest in innovative solutions and high-growth potential.","['SaaS', 'Fintech', 'AI']",25.0%,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",55M$
Ten31 Bitcoin and Freedom Tech Syndicate,Medium,Low,USA,01-2024,"Ten31 Bitcoin and Freedom Tech Syndicate is a syndicate investing in medium-stage companies within the Fintech and blockchain sectors, focusing on innovative solutions and technologies.  They demonstrate a measured investment approach.","['Fintech', 'Blockchain']",40.0%,"{'seed': '10%', 'early': '30%', 'growth': '60%'}",150M$
TDV Partners (US) | Ujwal's Syndicate,Seed+,Low,USA,01-2022,"TDV Partners (US) | Ujwal's Syndicate is a venture capital firm that invests in seed and Series A startups across various sectors, including technology, healthcare, and consumer goods.  They focus on companies with strong potential for growth and innovation.","['Technology', 'Healthcare', 'Consumer Goods']",25.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Nomad Ventures,Medium,Low,USA,02-2022,"Nomad Ventures is a venture capital firm that invests in technology companies at different stages of growth, focusing on SaaS and Fintech solutions. Their investments target companies with innovative products and strong market potential.","['SaaS', 'Fintech']",40.0%,"{'seed': '30%', 'early': '50%', 'growth': '20%'}",150M$
GoodTech Electric,Seed+,Low,USA,03-2023,GoodTech Electric is a seed+ stage company focused on developing innovative electric vehicle technologies.  They are concentrating on improving battery life and charging infrastructure. ,"['Cleantech', 'Automotive']",20.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",50M$
Network Ventures Syndicate,Medium,Low,USA,03-2019,Network Ventures Syndicate is a mid-stage investment firm focusing on growth-stage companies within the SaaS and Fintech sectors in the USA.  They have a history of successful investments in companies demonstrating strong market traction.,"['SaaS', 'Fintech']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",350M$
Ayuh Ventures,Seed,Low,India,01-2024,Ayuh Ventures is a seed-stage venture capital firm that invests in early-stage startups.  They are focused on the Indian market and have a particular interest in companies developing innovative solutions.,"['Fintech', 'Healthtech', 'SaaS']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Maya Bakhai,Medium,Low,USA,01-2024,Maya Bakhai is a mid-stage investment firm focusing on companies in the SaaS and Fintech sectors.  They have a moderate deal flow and concentrate on companies with proven traction.,"['SaaS', 'Fintech']",40.0%,"{'seed': '10%', 'early': '60%', 'growth': '30%'}",150M$
Atman,Seed,Low,India,01-2024,"Atman is a seed-stage investment firm focusing on early-stage startups within the Indian market.  They concentrate their investments in companies showing potential within the technology sector, particularly those leveraging AI and SaaS solutions.","['AI', 'SaaS']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Kindergarten Ventures,Medium,Low,USA,02-2022,"Kindergarten Ventures is a venture capital firm that invests in mid-stage companies across various sectors including SaaS, Fintech, and HealthTech.  They focus on companies demonstrating sustainable growth and strong market potential.","['SaaS', 'Fintech', 'Healthtech']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",150M$
"Textbook Ventures - Founders from Columbia, Cornell, and NYU",Seed+,Low,USA,01-2024,"Textbook Ventures is a venture capital firm founded by individuals from prestigious universities, focusing on seed+ investments.  They likely invest across various sectors given the diverse founder backgrounds, possibly with an emphasis on technology or companies with strong academic ties.","['Technology', 'SaaS', 'Fintech']",25.0%,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",50M$
Arkstons Capital,Medium,Low,USA,03-2022,Arkstons Capital is a mid-stage investment firm focusing on companies in the SaaS and Fintech sectors.  They have a moderate deal flow and invest in companies showing strong growth potential.,"['SaaS', 'Fintech']",40.0%,"{'seed': '15%', 'early': '35%', 'growth': '50%'}",150M$
Sunflower Fund,Series B,Low,USA,01-2024,Sunflower Fund is a venture capital firm that invests in growth-stage companies.  They have a particular focus on technology and have a portfolio of companies in various sectors.,"['SaaS', 'Fintech', 'Healthtech']",55.0%,"{'seed': '10%', 'early': '35%', 'growth': '55%'}",500M$
Caisson Capital Ventures,Medium,Low,USA,01-2024,"Caisson Capital Ventures is a venture capital firm that invests in companies at various stages of growth, focusing on technology and innovative solutions.  Their investments span multiple sectors, and they have a history of supporting promising businesses in their expansion. ","['Technology', 'SaaS', 'Fintech']",40.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",150M$
Ollie Howie,Seed,Low,UK,01-2024,"Ollie Howie is a seed-stage investment firm focusing on early-stage startups.  They are likely concentrated in the UK market, and may invest across various sectors, such as SaaS, Fintech, or Healthtech, depending on their specific portfolio companies.","['SaaS', 'Fintech', 'Healthtech']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",5M$
Potluck Ventures (backing #AAPI founders),Medium,Low,India,12-2024,Potluck Ventures (backing #AAPI founders) is a pioneering company in Fintech.,"['AI', 'Fintech']",35.0%,"{'seed': '60%', 'early': '12%', 'growth': '18%'}",143$
Mute Ventures,Pre-Seed,Low,USA,03-2023,"Mute Ventures is a newly established venture capital firm focusing on pre-seed investments in innovative startups across various sectors including SaaS, Fintech and AI.  They are based in the USA and prioritize companies with high-growth potential.","['SaaS', 'Fintech', 'AI']",15.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Gonio Ventures,Medium,Low,USA,01-2015,"Gonio Ventures is a venture capital firm that invests in growth-stage companies across various sectors including SaaS, Fintech, and Healthtech.  They have a strong focus on companies with disruptive technologies and scalable business models.","['SaaS', 'Fintech', 'Healthtech']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",500M$
Youth Development Fund,Series A,Low,USA,01-2022,Youth Development Fund is a venture capital firm that invests in early and growth-stage companies focused on improving youth development programs and initiatives. They typically invest in companies in the education technology and social impact sectors.,"['EdTech', 'Social Impact']",40.0%,"{'seed': '30%', 'early': '60%', 'growth': '10%'}",95M$
Tremis Capital US,Medium,Low,USA,01-2022,"Tremis Capital US is a mid-stage investment firm focusing on technology companies in the US market.  They invest across various sectors including SaaS, Fintech, and AI, supporting companies' growth and expansion.","['SaaS', 'Fintech', 'AI']",55.0%,"{'seed': '15%', 'early': '30%', 'growth': '55%'}",250M$
AdValorem Syndicate,Seed,Low,USA,01-2022,AdValorem Syndicate is a seed-stage venture capital firm focusing on early-stage investments in technology companies.  They have a particular interest in SaaS and Fintech solutions.,"['SaaS', 'Fintech']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Rob Hanna / Enduring Ventures,Seed,Low,USA,01-2024,Rob Hanna / Enduring Ventures is a seed-stage venture capital firm that invests in early-stage companies across various sectors.  Their focus is on supporting innovative businesses with high-growth potential.,"['SaaS', 'Fintech', 'Healthtech']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Intbox Ventures,Pre-Seed,Low,USA,01-2024,"Intbox Ventures is a venture capital firm that invests in early-stage startups, focusing on the pre-seed stage.  They have a portfolio of companies across various sectors, including technology and potentially others.",['Technology'],33.87248322147651%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",15M$
TopazProp Ventures,Pre-Seed,Low,USA,03-2023,TopazProp Ventures is a new venture capital firm focusing on real estate technology and proptech startups.  They are currently making investments in pre-seed companies showing significant potential within the market.,"['Real Estate', 'Technology', 'Fintech']",10.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Melzi VC,Seed+,Low,Europe,01-2022,"Melzi VC is a venture capital firm that invests in seed and Series A startups, focusing on the European market.  They have a particular interest in companies developing innovative solutions in the SaaS and Fintech sectors.","['SaaS', 'Fintech']",25.0%,"{'seed': '70%', 'early': '28%', 'growth': '2%'}",50M$
Majic Capital,Seed+,Low,USA,01-2024,Majic Capital is a seed-stage investment firm focusing on early-stage companies with high-growth potential in diverse sectors like Fintech and SaaS.  They are known for supporting innovative solutions in the US market.,"['Fintech', 'SaaS']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
SUM Ventures,Seed,Low,USA,01-2022,"SUM Ventures is a seed-stage venture capital firm that invests in early-stage startups.  They focus on a range of sectors, with a particular interest in companies with strong potential for growth and scalability.","['Fintech', 'SaaS', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
The Mycelorium,Seed,Low,USA,01-2024,"The Mycelorium is a seed-stage company with a low deal flow, likely focused on a niche market.  More information is needed to provide a detailed description.",['Unspecified'],20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",10M$
Cavallon AI,Seed,Low,USA,01-2024,Cavallon AI is a seed-stage company focused on developing cutting-edge AI solutions.  Their initial products are likely focused on a niche market and are currently seeking seed funding to fuel early development and market entry.,['AI'],20.0%,"{'seed': '73%', 'early': '26%', 'growth': '1%'}",15M$
Storied Ventures,Seed,Low,USA,03-2022,"Storied Ventures is a seed-stage venture capital firm that invests in early-stage startups across various sectors, including technology, consumer goods, and healthcare. They focus on companies with strong potential for growth and innovation.","['Technology', 'Consumer Goods', 'Healthcare']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Sober Capital,Seed,New,Europe,01-2024,"Sober Capital is a new seed-stage investment firm focusing on early-stage companies.  They are likely to concentrate on a specific sector or region in Europe, details of which are currently unavailable.","['SaaS', 'Fintech']",20.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",10M$
Galactic Ventures,Seed+,New,USA,01-2024,"Galactic Ventures is a newly established venture capital firm focusing on Seed+ stage investments.  They are likely targeting companies in high-growth sectors such as SaaS, Fintech, and AI, given the current market trends.","['SaaS', 'Fintech', 'AI']",33.87248322147651%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",15M$
Maverick Ventures,Seed,New,USA,01-2024,Maverick Ventures is a new venture capital firm focusing on seed-stage investments.  They are likely targeting companies in high-growth technology sectors.,"['Technology', 'SaaS', 'Fintech']",33.87248322147651%,"{'seed': '90%', 'early': '5%', 'growth': '5%'}",10M$
Riceberg Ventures,Seed,New,USA,01-2024,"Riceberg Ventures is a new venture capital firm focusing on seed-stage investments.  They are likely to concentrate on early-stage companies with high-growth potential, potentially in technology sectors such as SaaS, Fintech, or AI.","['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",10M$
Hero's Journey Capital,Pre-Seed,New,India,12-2024,Hero's Journey Capital is a pioneering company in Fintech.,"['AI', 'Healthtech']",37.0%,"{'seed': '66%', 'early': '23%', 'growth': '13%'}",120$
Ikigai Syndicate,Seed,New,USA,01-2024,Ikigai Syndicate is a venture capital firm that invests in early-stage companies.  They focus on seed-stage investments and have a particular interest in innovative technologies and business models.,"['SaaS', 'Fintech', 'AI']",20.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
Meandros Ventures,Seed,New,Europe,01-2024,Meandros Ventures is a new venture capital firm focusing on seed-stage investments in European startups.  They are likely to invest across a range of sectors showing high growth potential.,"['SaaS', 'Fintech', 'Healthtech']",20.0%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",15M$
co/fund,Seed,New,USA,01-2024,"co/fund is a new seed-stage investment fund focusing on early-stage startups.  They are likely to invest across a range of sectors, given their early stage and broad focus.","['SaaS', 'Fintech', 'AI']",33.87248322147651%,"{'seed': '90%', 'early': '5%', 'growth': '5%'}",10M$
Sola View Investments I - Med Tech,Pre-Seed,New,USA,01-2024,Sola View Investments I - Med Tech is a new investment firm focusing on early-stage medical technology companies.  They are likely targeting innovative solutions within the medical device or digital health sectors.,"['MedTech', 'Healthtech']",33.87248322147651%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",10M$
Stardust Ventures,Seed,New,India,01-2024,"Stardust Ventures is a new venture capital firm that invests in early-stage startups across various sectors, with a particular focus on the Indian market.  They are likely to concentrate on companies with high-growth potential and innovative solutions.","['AI', 'SaaS', 'Fintech', 'Healthtech']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Model Ventures,Seed,New,USA,01-2024,Model Ventures is a new venture capital firm focusing on seed-stage investments.  They are likely concentrating on  high-growth potential companies in the technology sector.,"['AI', 'SaaS', 'Fintech']",33.87248322147651%,"{'seed': '90%', 'early': '10%', 'growth': '0%'}",10M$
Jessie Wu,Pre-Seed,New,USA,01-2024,"Jessie Wu is a new venture capital firm focusing on pre-seed investments, likely in the technology sector given the current market trends.  More information is needed to specify their exact focus.",['Technology'],33.87248322147651%,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",5M$
BuildTech,Seed,New,USA,01-2024,BuildTech is a new seed-stage venture capital firm focusing on construction technology and proptech companies.  They are likely investing in early-stage startups with high-growth potential in the construction and real estate sectors.,"['Construction Technology', 'PropTech']",33.87248322147651%,"{'seed': '90%', 'early': '5%', 'growth': '5%'}",10M$
